"block","patch","corner","distance","species","stalk","no.viable_seeds","no.nonviable_seeds","notes","dispersed_percent","plant_ID","ptype","live","reproductive","length","width","height","no_basal_fl","no_axil_fl","predisp_seedpred","flags","Flag.Notes","dist_num"
"8","A","III","b","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.III.b","Center",1,0,"50","40","34","0",NA,NA,"0",NA,10
"8","A","III","b","Aristida",1,NA,NA,NA,NA,"AB.8.A.III.b","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,10
"8","A","III","b","Aristida",2,NA,NA,NA,NA,"AB.8.A.III.b","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,10
"8","A","III","b","Aristida",3,NA,NA,NA,NA,"AB.8.A.III.b","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,10
"8","A","III","b","Anthaenantia",1,"73","12",NA,NA,"AV.8.A.III.b","Center",1,1,"14","23.5","12","2",NA,NA,"0",NA,10
"8","A","III","b","Anthaenantia",2,NA,NA,NA,NA,"AV.8.A.III.b","Center",1,1,"14","23.5","12","2",NA,NA,"0",NA,10
"8","A","III","b","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.III.b","Center",1,1,"14","23.5","12","2",NA,NA,"0",NA,10
"8","A","III","c","Liatris",1,NA,NA,NA,NA,"LE.8.A.III.c","Center",1,1,"5","8","27.5","1","0",NA,"3",NA,19
"8","A","III","c","Liatris",2,NA,NA,NA,NA,"LE.8.A.III.c","Center",1,1,"5","8","27.5","1","0",NA,"3",NA,19
"8","A","III","c","Liatris",3,NA,NA,NA,NA,"LE.8.A.III.c","Center",1,1,"5","8","27.5","1","0",NA,"3",NA,19
"8","A","III","c","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.III.c","Center",1,0,"8","9","5","0",NA,NA,"0",NA,19
"8","A","III","c","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.III.c","Center",1,0,"8","9","5","0",NA,NA,"0",NA,19
"8","A","III","c","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.III.c","Center",1,0,"8","9","5","0",NA,NA,"0",NA,19
"8","A","III","c","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.III.c","Center",1,0,"29","24","28","0",NA,NA,"0",NA,19
"8","A","III","c","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.III.c","Center",1,0,"29","24","28","0",NA,NA,"0",NA,19
"8","A","III","c","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.III.c","Center",1,0,"29","24","28","0",NA,NA,"0",NA,19
"8","A","III","c","Aristida",1,"46","12","stalk painted for dispersal study",NA,"AB.8.A.III.c","Center",1,1,"46","51.5","31","10",NA,"0.5","4",NA,19
"8","A","III","c","Aristida",2,NA,NA,NA,NA,"AB.8.A.III.c","Center",1,1,"46","51.5","31","10",NA,"0.5","4",NA,19
"8","A","III","c","Aristida",3,NA,NA,NA,NA,"AB.8.A.III.c","Center",1,1,"46","51.5","31","10",NA,"0.5","4",NA,19
"8","A","III","c","Anthaenantia",1,"8","26",NA,NA,"AV.8.A.III.c","Center",1,1,"12","17","9","3",NA,"0.2","0",NA,19
"8","A","III","c","Anthaenantia",2,"0","82",NA,NA,"AV.8.A.III.c","Center",1,1,"12","17","9","3",NA,"0.2","0",NA,19
"8","A","III","c","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.III.c","Center",1,1,"12","17","9","3",NA,"0.2","0",NA,19
"8","A","III","d","Liatris",1,NA,NA,NA,NA,"LE.8.A.III.d","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,36
