Species,EU,Patch,Corner,Distance,Live/dead,Reproductive status,# Reproductive structures,Transplant notes,# recruits in plot,# recruits out of plot,Recruit notes
GD,8,D,III,b,1,0,.,,0,0,
LE,8,D,III,b,1,0,.,,0,0,
NG,8,D,III,b,1,0,.,,0,0,
SS,8,D,III,b,1,1,39,,0,0,
AB,8,D,III,c,1,1,462,,0,0,
AV,8,D,III,c,0,0,.,,0,0,
CB,8,D,III,c,1,1,23,,0,0,
GD,8,D,III,c,0,0,.,,0,0,
LE,8,D,III,c,.,.,.,,3,0,
NG,8,D,III,c,1,1,1,male or female from last year,0,0,
SS,8,D,III,c,1,1,20,,0,0,
AB,8,D,III,d,1,1,235,,0,0,
AV,8,D,III,d,1,1,24,,0,0,
CB,8,D,III,d,0,.,.,,0,0,
GD,8,D,III,d,1,0,.,,0,0,
LE,8,D,III,d,1,1,824,,0,0,
NG,8,D,III,d,1,1,1,,0,0,
SS,8,D,III,d,1,1,4,,0,0,
AB,8,D,IV,a,1,0,.,,0,0,
AV,8,D,IV,a,0,.,.,,0,0,
CB,8,D,IV,a,0,.,.,,0,0,
GD,8,D,IV,a,0,.,.,,0,0,
LE,8,D,IV,a,0,.,.,,0,0,
NG,8,D,IV,a,1,0,.,,0,0,
SS,8,D,IV,a,1,0,.,,0,0,
AB,8,D,IV,b,1,1,169,,0,0,
AV,8,D,IV,b,1,1,15,,0,0,
CB,8,D,IV,b,1,1,13,,11,2,
GD,8,D,IV,b,1,0,.,,0,0,
LE,8,D,IV,b,1,1,42,,0,0,
NG,8,D,IV,b,1,0,.,,0,0,
SS,8,D,IV,b,1,1,19,,0,0,
AB,8,D,IV,c,1,1,94,,0,0,
AV,8,D,IV,c,1,1,51,,0,0,
CB,8,D,IV,c,0,.,.,,0,0,
GD,8,D,IV,c,0,.,.,,0,0,
LE,8,D,IV,c,0,.,.,,0,0,
NG,8,D,IV,c,1,0,.,,0,0,
SS,8,D,IV,c,1,1,20,,0,0,
AB,8,D,IV,d,1,1,328,,0,0,
AV,8,D,IV,d,1,1,3,,0,0,
CB,8,D,IV,d,1,1,33,,0,0,
GD,8,D,IV,d,1,0,.,,0,0,
LE,8,D,IV,d,0,.,.,,0,0,
NG,8,D,IV,d,1,1,1,male ,0,0,
SS,8,D,IV,d,1,0,.,,0,0,
AB,8,E,I,a,1,0,.,,0,0,
AV,8,E,I,a,1,0,.,,0,0,
CB,8,E,I,a,1,0,.,,0,0,
GD,8,E,I,a,0,0,.,,0,0,
LE,8,E,I,a,1,1,>100,,0,0,
NG,8,E,I,a,0,0,.,,0,0,
SS,8,E,I,a,1,0,.,,0,0,
AB,8,E,I,b,1,1,~300,,0,0,
AV,8,E,I,b,1,1,<10,,0,0,
CB,8,E,I,b,0,0,.,,0,0,
GD,8,E,I,b,1,0,.,,0,0,
LE,8,E,I,b,0,0,.,,0,0,
NG,8,E,I,b,1,1,.,,0,0,
SS,8,E,I,b,1,1,<10,,0,0,
AB,8,E,I,c,1,0,.,,0,0,
